epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.6591505408287048,0.0010000000474974513,1.319737434387207,0.6820833086967468,1.3951791524887085
1,0.8606974482536316,0.0010000000474974513,0.5900202393531799,0.8476389050483704,0.6696603298187256
2,0.890080451965332,0.0010000000474974513,0.48417505621910095,0.8601735830307007,0.615996778011322
3,0.9012657999992371,0.0010000000474974513,0.4434109926223755,0.8873263597488403,0.502097487449646
4,0.9100506901741028,0.0010000000474974513,0.41537562012672424,0.9072916507720947,0.4473347067832947
5,0.9139902591705322,0.0010000000474974513,0.4005568027496338,0.9220486283302307,0.39193210005760193
6,0.9181965589523315,0.0010000000474974513,0.3863752782344818,0.8736458420753479,0.5578170418739319
7,0.9209248423576355,0.0010000000474974513,0.3775423765182495,0.8724652528762817,0.5975624322891235
8,0.9337437748908997,0.0003000000142492354,0.3229607045650482,0.9042708277702332,0.44364774227142334
9,0.9374277591705322,0.0003000000142492354,0.293508917093277,0.9114236235618591,0.40911316871643066
10,0.9423730969429016,9.000000136438757e-05,0.26939037442207336,0.9076389074325562,0.4209580719470978
11,0.9434177279472351,9.000000136438757e-05,0.2577874958515167,0.8976736068725586,0.4654597043991089
